Snowflake Headers,Snowflake Field Names ,Dictionary Headers
RECORD_QUALITY_CODE,Record Quality Code,RECORD_QUALITY_CODE
NUM_SOURC_VERIFY_HH,Number of Sources Verifying Household,NUM_SOURC_VERIFY_HH
FIPS_STATE_CODE,FIPS State Code,FIPS_STATE_CODE
ZIP,ZIP Code,ZIP
ZIP4,ZIP-Plus 4,ZIP4
DELIVERY_POINT_CODE,Delivery Point Code,DELIVERY_POINT_CODE
CARRIER_ROUTE,Carrier Route,CARRIER_ROUTE
CONTRACTED_ADDRESS,Contracted Address,CONTRACTED_ADDRESS
POST_OFFICE_NAME,Post Office Name,POST_OFFICE_NAME
STATE,State Abbreviation,STATE
COUNTY_CODE,County Code,COUNTY_CODE
ADDR_QUALITY_CODE,Address Quality Code,ADDR_QUALITY_CODE
ADDR_TYP,Address Type,ADDR_TYP
VERIFICATION_DATE_HH,Verification Date of Household,VERIFICATION_DATE_HH
SURNAME,Surname,SURNAME
AGILITY_ADDR_KEY,Agility Address Key,AGILITY_ADDR_KEY
AGILITY_HH_KEY,Agility Household Key,AGILITY_HH_KEY
PERSON_SEQ_NO1,Person Seq No #1,PERSON_SEQ_NO1
TTL_CODE1,Title Code #1,TTL_CODE1
GIVEN_NAME1,Given Name #1,GIVEN_NAME1
MIDDLE_INITITAL_1,Middle Initial #1,MIDDLE_INITITAL_1
GENDER1,Gender of Person 1,GENDER1
MEMBER_CODE_PERSON1,Member Code of Person #1,MEMBER_CODE_PERSON1
VERIFICATION_DATE_PERSON1,Verification Date of Person #1,VERIFICATION_DATE_PERSON1
AFRICAN_AMERICAN_CONF_CODE1,African American Confidence Code #1,AFRICAN_AMERICAN_CONF_CODE1
ASSIMILATION_CODE1,Assimilation Code #1,ASSIMILATION_CODE1
ETHNIC_GROUP1,Ethnic Groups #1,ETHNIC_GROUP1
ETHNIC_GROUP_CODE1,Ethnic Groups/Codes #1,ETHNIC_GROUP_CODE1
