Attribute,Category,Snowflake Field names,flag_continuous,Bin
Niches 4.0,DEMO_HH,NICHES_40,0,
Ethnic Group Code - Household,DEMO_HH,ETHNIC_GROUP_CODE_HOUSEHOLD,0,
"Individual Exact Age (Enhanced);
Person 1: Individual Exact Age",DEMO_IND,INDIVIDUAL_EXACT_AGE1,1,"35.0,40.0, 45.0, 50.0, 55.0, 60.0, 65.0, 75.0,95.0"
"Ethnic Group Code, Person 1",DEMO_IND,ETHNIC_GROUP1,0,
"Religion Code, Person 1",DEMO_IND,RELIGION1,0,
Living Area Square Feet,HOME,LIVING_AREA_SQ_FTG_RANGE,0,
Property Lot Size in Acres,HOME,PROPERTY_LOT_SIZE_IN_ACRES_DUPLICATE,0,
Year Home Built,HOME,YEAR_HOME_BUILT,0,"1900.0, 1925.0, 1935.0, 1950.0, 1955.0, 1960.0, 1965.0, 1975.0, 1990.0, 2000.0, 2025.0"
Structure Code,HOME,STRUCTURE_CODE,1,"7.0, 8.0, 15.0, 27.0,35.0"
Current Loan to Value,HOME,CURRENT_LOAN_TO_VALUE,1,"35.0, 50.0, 60.0, 65.0, 75.0, 80.0, 85.0, 95.0, 110.0,995.0"
Target Home Market Value 2.0,HOME,TGT_HOME_MKT_VALUE_20,0,
Home Market Value (Tax Record),HOME,HOME_MKT_VALUE_TAX_RECORD,1," 340.0, 445.0, 520.0, 590.0, 660.0, 745.0, 855.0, 1005.0, 1315.0, 9975.0"
Available Home Equity,HOME,AVA_HOME_EQUITY_IN_K,1,"45.0, 95.0, 145.0, 195.0, 250.0, 325.0, 425.0, 605.0, 4140.0"
Home Sale Price,HOME,HOME_SALE_PRICE_IN_K,1," 240.0, 345.0, 420.0, 490.0, 565.0, 650.0, 755.0, 905.0, 1265.0, 9999.0"
First Mortgage Amount; 1st Mortgage Amount,HOME,FIRST_MORTG_AMOUNT_IN_K,1,"210.0, 290.0, 350.0, 400.0, 450.0, 510.0, 595.0, 700.0, 950.0, 7890.0"
Second Mortgage Amount; 2nd Mortgage Amount,HOME,FIRST_MORTG_AMOUNT_IN_K,1,"210.0, 290.0, 350.0, 400.0, 450.0, 510.0, 595.0, 700.0, 950.0, 7890.0"
