Attribute,Category,Snowflake Field names,flag_continuous,Bin
hs_total_stays,Hilton Stays,hs_total_stays,1,"0,1,3,6,15,30,10000"
hs_total_reward_stay,Hilton Stays,hs_total_reward_stay,1,"0,1,2,3,10000"
hs_total_ota_stay,Hilton Stays,hs_total_ota_stay,1,"0,1,2,3,10000"
hs_total_foreign_stay,Hilton Stays,hs_total_foreign_stay,1,"0,1,2,3,10000"
hs_max_party_size,Hilton Stays,hs_max_party_size,1,"1,2,3,4,5,10000"
hs_sum_room_rev,Hilton Stays,hs_sum_room_rev,1,"0,500,1000,2000,3000,1000000"
hs_sum_total_rev,Hilton Stays,hs_sum_total_rev,1,"0,500,1000,2000,3000,1000000"
hs_avg_room_rev,Hilton Stays,hs_avg_room_rev,1,"0,150,200,300,400,500,1000000"
hs_avg_total_rev,Hilton Stays,hs_avg_total_rev,1,"0,150,200,300,400,500,1000000"
hs_avg_nigth_rate,Hilton Stays,hs_avg_nigth_rate,1,"0,100,150,200,300,1000000"
hs_avg_room_rate,Hilton Stays,hs_avg_room_rate,1,"0,100,150,200,300,1000000"
hs_total_stays_3yr,Hilton Stays,hs_total_stays_3yr,1,"0,1,5,15,10000"
hs_max_party_size_3yr,Hilton Stays,hs_max_party_size_3yr,1,"1,2,3,10000"
hs_total_stays_1yr,Hilton Stays,hs_total_stays_1yr,1,"0,1,5,15,10000"
hybrid_inc_amt,Acxiom,hybrid_inc_amt,1,"0,50000,75000,100000,150000,1000000"
derived_age,Acxiom,derived_age,1,"0,30,40,50,60,1000"
heavy_facebook_user_rank,Acxiom,heavy_facebook_user_rank,1,"0,5,10,15,20"
heavy_twitter_user_rank,Acxiom,heavy_twitter_user_rank,1,"0,5,10,15,20"
internet_media_channel_usage,Acxiom,internet_media_channel_usage,1,"0,3,6,10"
internet_purchases_propensity_score,Acxiom,internet_purchases_propensity_score,1,"0,3,6,10"
socially_influenced_rank,Acxiom,socially_influenced_rank,1,"0,5,10,15,20"
stay_at_timeshare_rank,Acxiom,stay_at_timeshare_rank,1,"0,5,10,15,20"
underbanked,Acxiom,underbanked,1,"0,5,10,15,20"
upscale_hotel_rank,Acxiom,upscale_hotel_rank,1,"0,25,50,75,100"
VACATION_PROPERTY_OWNERSHIP_PROPENSITY_3411,Acxiom,VACATION_PROPERTY_OWNERSHIP_PROPENSITY_3411,1,"0,25,50,75,100"
vacation_shopper_rank,Acxiom,vacation_shopper_rank,1,"0,25,50,75,100"
env_vacation_cost,Envision,env_vacation_cost,1,"0,30000,75000,150000,1000000000"
env_vacation_days,Envision,env_vacation_days,1,"0,5,10,20,366"
env_netcost,Envision,env_netcost,1,"0,30000,75000,150000,1000000000"
env_annual_cost,Envision,env_annual_cost,1,"0,2000,4000,6000,1000000000"
pref_relax_v_adventure,Envision,pref_relax_v_adventure,1,"0,25,50,75,100"
pref_nature_lover_v_thrill_seeker,Envision,pref_nature_lover_v_thrill_seeker,1,"0,25,50,75,100"
pref_freestyle_v_agenda,Envision,pref_freestyle_v_agenda,1,"0,25,50,75,100"
pref_quick_bite_v_foodie,Envision,pref_quick_bite_v_foodie,1,"0,25,50,75,100"
pref_play_by_ear_v_plan,Envision,pref_play_by_ear_v_plan,1,"0,25,50,75,100"
