Attribute,Category,Snowflake Field names,Bin
"Individual Exact Age (Enhanced);
Person 1: Individual Exact Age",DEMO_IND,INDIVIDUAL_EXACT_AGE1,"35.0, 40.0, 45.0, 50.0, 55.0, 60.0, 65.0,70.0, 75.0, 95.0"
Structure Code,HOME,STRUCTURE_CODE,"7.0, 8.0, 11.0, 13.0, 27.0, 35.0"
Current Loan to Value,HOME,CURRENT_LOAN_TO_VALUE,"35.0, 45.0, 55.0, 65.0, 75.0, 85.0, 95.0, 110.0, 992.0"
Home Market Value (Tax Record),HOME,HOME_MKT_VALUE_TAX_RECORD,"340.0, 450.0, 520.0, 590.0, 660.0, 750.0, 860.0, 1010.0, 1320.0, 9980.0"
Available Home Equity,HOME,AVA_HOME_EQUITY_IN_K,"40.0, 100.0, 140.0, 190.0, 250.0, 320.0, 420.0, 600.0, 4140.0"
Home Sale Price,HOME,HOME_SALE_PRICE_IN_K,"240.0, 340.0, 420.0, 500.0, 570.0, 650.0, 760.0, 900.0, 1260.0, 9999.0"
First Mortgage Amount; 1st Mortgage Amount,HOME,FIRST_MORTG_AMOUNT_IN_K,"210.0, 290.0, 350.0, 400.0, 450.0, 510.0, 600.0, 700.0, 1000.0, 7890.0"
Second Mortgage Amount; 2nd Mortgage Amount,HOME,FIRST_MORTG_AMOUNT_IN_K,"210.0, 290.0, 350.0, 400.0, 450.0, 510.0, 600.0, 700.0, 1000.0, 7890.0"
Interest Rate; Mortgage Interest Rate,HOME,MORTG_INTEREST_RATE_REFIN,"420.0, 470.0, 510.0, 550.0, 580.0, 610.0, 680.0, 720.0, 930.0"
Structure Code,HOME,STRUCTURE_CODE,"7.0, 8.0, 11.0, 13.0, 27.0, 35.0"
Investment Resources Tiers,FINANCIAL,INVESTMENT_RESOURCES_TIERS,"8.0, 9.0, 11.0, 12.0, 13.0"
Liquid Resources Tier,FINANCIAL,LIQUID_RESOURCES,"8.0, 11.0, 12.0, 13.0, 14.0"
Mortgage Liability Tiers,FINANCIAL,MORTGAGE_LIABILITY_TIERS,"60.0, 140.0, 200.0, 260.0, 320.0, 380.0, 440.0, 530.0, 700.0, 9000.0"
Liquid Resources 2.0,FINANCIAL,LIQUID_RESOURCES,"8.0, 11.0, 12.0, 13.0, 14.0"
Investment Resources 2.0,FINANCIAL,INVESTMENT_RESOURCES,"8.0, 9.0, 11.0, 12.0"
Mortgage Liability 2.0,FINANCIAL,MORTG_LIABILITY,"33.0, 74.0, 140.0, 240.0, 300.0, 370.2, 430.0, 520.0, 690.0, 9000.0"
